name,formula,category,subcategory,density,thermal_conductivity,yield_strength,tensile_strength,youngs_modulus,hardness_vickers,thermal_expansion,electrical_resistivity,notes,source,mp_material_id,fracture_toughness,weibull_modulus
Eu2I2O,Eu2I2O,Ceramic,Oxide,7.115,,,,34.36077664097794,,,,JVASP-85922,JARVIS dft_3d (scraped),,,
NaH2SO4,NaH2SO4,Ceramic,Oxide,2.24,,,,,,,,JVASP-98932,JARVIS dft_3d (scraped),,,
Ag3O4,Ag3O4,Ceramic,Oxide,6.924,,,,,,,,JVASP-85852,JARVIS dft_3d (scraped),,,
CeN,CeN,Ceramic,Nitride,8.022,,,,216.8693498452012,,,,JVASP-14575,JARVIS dft_3d (scraped),,,
Nb2FeO6,Nb2FeO6,Ceramic,Oxide,5.72,,,,,,,,JVASP-88512,JARVIS dft_3d (scraped),,,
SiNi,SiNi,Ceramic,Mixed,6.161,,,,116.6410649720609,,,,JVASP-90627,JARVIS dft_3d (scraped),,,
ThTi2O6,ThTi2O6,Ceramic,Oxide,5.971,,,,186.12088883901015,,,,JVASP-86502,JARVIS dft_3d (scraped),,,
Mn2SiRu,Mn2SiRu,Ceramic,Mixed,8.16,,,,178.10899642183333,,,,JVASP-37194,JARVIS dft_3d (scraped),,,
RbZnO3,RbZnO3,Ceramic,Oxide,4.702,,,,,,,,JVASP-38278,JARVIS dft_3d (scraped),,,
NaSrO3,NaSrO3,Ceramic,Oxide,3.637,,,,,,,,JVASP-38694,JARVIS dft_3d (scraped),,,
RbNiO3,RbNiO3,Ceramic,Oxide,5.237,,,,,,,,JVASP-38325,JARVIS dft_3d (scraped),,,
Ca3La3B5O15,Ca3La3B5O15,Ceramic,Oxide,4.478,,,,,,,,JVASP-98615,JARVIS dft_3d (scraped),,,
La3CuSnS7,La3CuSnS7,Ceramic,Mixed,4.858,,,,,,,,JVASP-98038,JARVIS dft_3d (scraped),,,
MoWSe2S2,MoWSe2S2,Ceramic,Mixed,5.281,,,,,,,,JVASP-28636,JARVIS dft_3d (scraped),,,
RbCrF5,RbCrF5,Ceramic,Mixed,3.7,,,,,,,,JVASP-97916,JARVIS dft_3d (scraped),,,
TmFeO3,TmFeO3,Ceramic,Oxide,7.543,,,,,,,,JVASP-98551,JARVIS dft_3d (scraped),,,
RuPbO3,RuPbO3,Ceramic,Oxide,9.408,,,,107.24267289529806,,,,JVASP-39448,JARVIS dft_3d (scraped),,,
VP4,VP4,Ceramic,Mixed,3.598,,,,204.7684779615932,,,,JVASP-87040,JARVIS dft_3d (scraped),,,
Si2Ru,Si2Ru,Ceramic,Mixed,5.888,,,,240.70787060364805,,,,JVASP-14914,JARVIS dft_3d (scraped),,,
Ca3CdO4,Ca3CdO4,Ceramic,Oxide,4.476,,,,179.79052830277166,,,,JVASP-107773,JARVIS dft_3d (scraped),,,
CdH4S2O5,CdH4S2O5,Ceramic,Oxide,3.108,,,,,,,,JVASP-98439,JARVIS dft_3d (scraped),,,
AgNO3,AgNO3,Ceramic,Oxide,4.598,,,,,,,,JVASP-97854,JARVIS dft_3d (scraped),,,
TlCoF3,TlCoF3,Ceramic,Mixed,7.5,,,,83.53098591549296,,,,JVASP-36885,JARVIS dft_3d (scraped),,,
MnAgO2,MnAgO2,Ceramic,Oxide,6.401,,,,87.38312632052926,,,,JVASP-36782,JARVIS dft_3d (scraped),,,
MnAuO2,MnAuO2,Ceramic,Oxide,9.271,,,,100.94131248737996,,,,JVASP-36857,JARVIS dft_3d (scraped),,,
Li3P7,Li3P7,Ceramic,Mixed,2.021,,,,,,,,JVASP-98496,JARVIS dft_3d (scraped),,,
TeMoWSe2S,TeMoWSe2S,Ceramic,Mixed,5.378,,,,2.2514249525015835,,,,JVASP-28962,JARVIS dft_3d (scraped),,,
B2CN,B2CN,Ceramic,Non-Oxide,3.123,,,,728.6979025389836,,,,JVASP-91700,JARVIS dft_3d (scraped),,,
Na2LiAlP2,Na2LiAlP2,Ceramic,Mixed,2.078,,,,,,,,JVASP-98174,JARVIS dft_3d (scraped),,,
TiS2,TiS2,Ceramic,Mixed,3.224,,,,83.68588116478706,,,,JVASP-323,JARVIS dft_3d (scraped),,,
CdP2O6,CdP2O6,Ceramic,Oxide,3.814,,,,,,,,JVASP-97429,JARVIS dft_3d (scraped),,,
SrCaO3,SrCaO3,Ceramic,Oxide,3.552,,,,77.95876873615153,,,,JVASP-37300,JARVIS dft_3d (scraped),,,
KInO3,KInO3,Ceramic,Oxide,4.306,,,,89.67670878436995,,,,JVASP-38181,JARVIS dft_3d (scraped),,,
RbSrO3,RbSrO3,Ceramic,Oxide,3.339,,,,,,,,JVASP-38289,JARVIS dft_3d (scraped),,,
RbCaO3,RbCaO3,Ceramic,Oxide,3.024,,,,47.67029945735915,,,,JVASP-38327,JARVIS dft_3d (scraped),,,
Mn3O4F2,Mn3O4F2,Ceramic,Oxide,4.655,,,,,,,,JVASP-48092,JARVIS dft_3d (scraped),,,
Mn2FeO3,Mn2FeO3,Ceramic,Oxide,5.729,,,,,,,,JVASP-47532,JARVIS dft_3d (scraped),,,
CrCuO2,CrCuO2,Ceramic,Oxide,6.197,,,,227.31936185409225,,,,JVASP-22557,JARVIS dft_3d (scraped),,,
Mg9Si5,Mg9Si5,Ceramic,Mixed,2.195,,,,,,,,JVASP-97624,JARVIS dft_3d (scraped),,,
NaCrO2,NaCrO2,Ceramic,Oxide,4.614,,,,217.63579806494872,,,,JVASP-22671,JARVIS dft_3d (scraped),,,
CoF2,CoF2,Ceramic,Mixed,5.039,,,,123.51080718348564,,,,JVASP-22514,JARVIS dft_3d (scraped),,,
Tl2MoO4,Tl2MoO4,Ceramic,Oxide,6.905,,,,,,,,JVASP-89035,JARVIS dft_3d (scraped),,,
CeSi2Ir,CeSi2Ir,Ceramic,Mixed,8.64,,,,,,,,JVASP-91521,JARVIS dft_3d (scraped),,,
KBaO3,KBaO3,Ceramic,Oxide,3.036,,,,,,,,JVASP-39244,JARVIS dft_3d (scraped),,,
RbBaO3,RbBaO3,Ceramic,Oxide,3.633,,,,,,,,JVASP-38332,JARVIS dft_3d (scraped),,,
